,Date,Index,Value
560,06/08/2018,GBP,7.34%
561,06/08/2018,EUR,6.24%
562,06/08/2018,YENN,7.73%
563,06/08/2018,BTC,69.47%
564,07/08/2018,GBP,7.08%
565,07/08/2018,EUR,5.93%
566,07/08/2018,YENN,7.71%
567,07/08/2018,BTC,70.21%
568,08/08/2018,GBP,7.06%
569,08/08/2018,EUR,6.13%
570,08/08/2018,YENN,7.54%
571,08/08/2018,BTC,70.86%
572,09/08/2018,GBP,7.17%
573,09/08/2018,EUR,6.11%
574,09/08/2018,YENN,7.68%
575,09/08/2018,BTC,72.20%
576,10/08/2018,GBP,7.19%
577,10/08/2018,EUR,6.45%
578,10/08/2018,YENN,6.79%
579,10/08/2018,BTC,74.74%
580,13/08/2018,GBP,7.33%
581,13/08/2018,EUR,7.43%
582,13/08/2018,YENN,6.45%
583,13/08/2018,BTC,75.01%
584,14/08/2018,GBP,7.12%
585,14/08/2018,EUR,7.42%
586,14/08/2018,YENN,6.44%
587,14/08/2018,BTC,69.68%
588,15/08/2018,GBP,7.09%
589,15/08/2018,EUR,7.40%
590,15/08/2018,YENN,6.77%
591,15/08/2018,BTC,62.83%
592,16/08/2018,GBP,6.47%
593,16/08/2018,EUR,7.32%
594,16/08/2018,YENN,6.64%
595,16/08/2018,BTC,62.76%
596,17/08/2018,GBP,6.56%
597,17/08/2018,EUR,7.42%
598,17/08/2018,YENN,6.85%
599,17/08/2018,BTC,64.36%
600,20/08/2018,GBP,6.60%
601,20/08/2018,EUR,7.78%
602,20/08/2018,YENN,6.91%
603,20/08/2018,BTC,65.52%
604,21/08/2018,GBP,5.78%
605,21/08/2018,EUR,7.47%
606,21/08/2018,YENN,5.86%
607,21/08/2018,BTC,63.81%
608,22/08/2018,GBP,6.52%
609,22/08/2018,EUR,7.92%
610,22/08/2018,YENN,5.73%
611,22/08/2018,BTC,53.27%
612,23/08/2018,GBP,6.32%
613,23/08/2018,EUR,7.93%
614,23/08/2018,YENN,5.92%
615,23/08/2018,BTC,54.48%
616,24/08/2018,GBP,6.47%
617,24/08/2018,EUR,7.80%
618,24/08/2018,YENN,6.31%
619,24/08/2018,BTC,55.65%
620,27/08/2018,GBP,6.40%
621,27/08/2018,EUR,8.04%
622,27/08/2018,YENN,6.25%
623,27/08/2018,BTC,55.48%
624,28/08/2018,GBP,6.52%
625,28/08/2018,EUR,8.09%
626,28/08/2018,YENN,6.23%
627,28/08/2018,BTC,56.97%
628,29/08/2018,GBP,6.47%
629,29/08/2018,EUR,7.97%
630,29/08/2018,YENN,6.23%
631,29/08/2018,BTC,54.75%
632,30/08/2018,GBP,8.08%
633,30/08/2018,EUR,7.97%
634,30/08/2018,YENN,5.93%
635,30/08/2018,BTC,54.50%
636,31/08/2018,GBP,8.09%
637,31/08/2018,EUR,8.06%
638,31/08/2018,YENN,6.30%
639,31/08/2018,BTC,54.66%
640,03/09/2018,GBP,7.93%
641,03/09/2018,EUR,7.92%
642,03/09/2018,YENN,6.32%
643,03/09/2018,BTC,55.66%
644,04/09/2018,GBP,8.03%
645,04/09/2018,EUR,7.89%
646,04/09/2018,YENN,6.17%
647,04/09/2018,BTC,50.39%
648,05/09/2018,GBP,7.90%
649,05/09/2018,EUR,7.94%
650,05/09/2018,YENN,6.27%
651,05/09/2018,BTC,57.16%
652,06/09/2018,GBP,8.07%
653,06/09/2018,EUR,7.96%
654,06/09/2018,YENN,6.27%
655,06/09/2018,BTC,53.53%
656,07/09/2018,GBP,7.87%
657,07/09/2018,EUR,7.98%
658,07/09/2018,YENN,6.82%
659,07/09/2018,BTC,51.71%
660,10/09/2018,GBP,7.71%
661,10/09/2018,EUR,7.73%
662,10/09/2018,YENN,6.93%
663,10/09/2018,BTC,47.68%
664,11/09/2018,GBP,7.78%
665,11/09/2018,EUR,6.56%
666,11/09/2018,YENN,6.80%
667,11/09/2018,BTC,47.28%
668,12/09/2018,GBP,7.80%
669,12/09/2018,EUR,6.57%
670,12/09/2018,YENN,6.93%
671,12/09/2018,BTC,46.95%
672,13/09/2018,GBP,7.64%
673,13/09/2018,EUR,6.25%
674,13/09/2018,YENN,6.82%
675,13/09/2018,BTC,47.40%
676,14/09/2018,GBP,7.66%
677,14/09/2018,EUR,6.39%
678,14/09/2018,YENN,6.87%
679,14/09/2018,BTC,47.40%
680,17/09/2018,GBP,7.82%
681,17/09/2018,EUR,6.80%
682,17/09/2018,YENN,6.78%
683,17/09/2018,BTC,47.12%
684,18/09/2018,GBP,7.94%
685,18/09/2018,EUR,6.64%
686,18/09/2018,YENN,6.59%
687,18/09/2018,BTC,45.10%
688,19/09/2018,GBP,7.87%
689,19/09/2018,EUR,6.50%
690,19/09/2018,YENN,6.49%
691,19/09/2018,BTC,43.99%
692,20/09/2018,GBP,7.58%
693,20/09/2018,EUR,6.05%
694,20/09/2018,YENN,6.49%
695,20/09/2018,BTC,44.04%
696,21/09/2018,GBP,8.18%
697,21/09/2018,EUR,6.69%
698,21/09/2018,YENN,6.39%
699,21/09/2018,BTC,44.66%
700,24/09/2018,GBP,9.41%
701,24/09/2018,EUR,6.59%
702,24/09/2018,YENN,5.98%
703,24/09/2018,BTC,44.21%
704,25/09/2018,GBP,9.37%
705,25/09/2018,EUR,5.86%
706,25/09/2018,YENN,6.00%
707,25/09/2018,BTC,43.85%
708,26/09/2018,GBP,9.45%
709,26/09/2018,EUR,5.79%
710,26/09/2018,YENN,5.96%
711,26/09/2018,BTC,42.35%
712,27/09/2018,GBP,9.39%
713,27/09/2018,EUR,5.82%
714,27/09/2018,YENN,6.06%
715,27/09/2018,BTC,43.74%
716,28/09/2018,GBP,8.75%
717,28/09/2018,EUR,6.69%
718,28/09/2018,YENN,6.14%
719,28/09/2018,BTC,43.67%
720,01/10/2018,GBP,8.79%
721,01/10/2018,EUR,6.63%
722,01/10/2018,YENN,5.66%
723,01/10/2018,BTC,43.53%
724,02/10/2018,GBP,8.43%
725,02/10/2018,EUR,6.41%
726,02/10/2018,YENN,5.66%
727,02/10/2018,BTC,41.71%
728,03/10/2018,GBP,8.47%
729,03/10/2018,EUR,6.43%
730,03/10/2018,YENN,5.84%
731,03/10/2018,BTC,41.15%
732,04/10/2018,GBP,8.55%
733,04/10/2018,EUR,6.75%
734,04/10/2018,YENN,6.27%
735,04/10/2018,BTC,31.32%
736,05/10/2018,GBP,8.71%
737,05/10/2018,EUR,6.71%
738,05/10/2018,YENN,6.64%
739,05/10/2018,BTC,28.19%
740,08/10/2018,GBP,9.08%
741,08/10/2018,EUR,6.71%
742,08/10/2018,YENN,5.75%
743,08/10/2018,BTC,27.97%
744,09/10/2018,GBP,9.16%
745,09/10/2018,EUR,6.53%
746,09/10/2018,YENN,6.13%
747,09/10/2018,BTC,26.74%
748,10/10/2018,GBP,8.96%
749,10/10/2018,EUR,6.45%
750,10/10/2018,YENN,6.15%
751,10/10/2018,BTC,26.99%
752,11/10/2018,GBP,9.01%
753,11/10/2018,EUR,6.51%
754,11/10/2018,YENN,6.73%
755,11/10/2018,BTC,32.64%
756,12/10/2018,GBP,9.01%
757,12/10/2018,EUR,6.68%
758,12/10/2018,YENN,6.60%
759,12/10/2018,BTC,31.24%
760,15/10/2018,GBP,9.57%
761,15/10/2018,EUR,6.45%
762,15/10/2018,YENN,6.14%
763,15/10/2018,BTC,36.04%
764,16/10/2018,GBP,9.60%
765,16/10/2018,EUR,6.30%
766,16/10/2018,YENN,6.24%
767,16/10/2018,BTC,33.48%
768,17/10/2018,GBP,9.44%
769,17/10/2018,EUR,6.16%
770,17/10/2018,YENN,6.37%
771,17/10/2018,BTC,33.36%
772,18/10/2018,GBP,9.68%
773,18/10/2018,EUR,6.48%
