fips,value
37189,2.61
37191,1.58
37193,2.61
37195,1.58
37197,3.43
37199,1.82
38001,1.19
38003,1.01
38005,
38007,0.78
38009,1.37
38011,1.19
38013,1.19
38015,1.19
38017,1.01
38019,1.58
38021,3.43
38023,
38025,1.37
38027,0.78
38029,1.37
38031,1.01
38033,0.78
38035,1.37
38037,
38039,1.19
38041,1.19
38043,1.82
38045,1.01
38047,1.01
38049,1.01
38051,1.82
38053,0.78
38055,1.37
38057,0.78
38059,1.82
38061,3.43
38063,1.19
38065,1.82
38067,0.78
38069,1.01
38071,1.01
38073,2.15
38075,3.43
38077,1.01
38079,0.78
38081,0.78
38083,0.78
38085,0.78
38087,0.78
38089,0.78
38091,1.58
38093,1.01
38095,1.58
38097,1.01
38099,0.78
38101,1.37
38103,0.78
38105,1.01
39001,3.43
39003,1.19
39005,2.61
39007,2.15
39009,2.15
39011,1.37
39013,1.58
39015,
39017,2.15
39019,
39021,3.43
39023,2.15
39025,3.43
39027,1.19
39029,2.61
39031,1.82
39033,1.82
39035,1.19
39037,2.15
39039,1.37
39041,
39043,1.82
39045,
39047,1.58
39049,1.19
39051,1.82
39053,1.19
39055,3.43
39057,1.82
39059,2.15
39061,1.19
39063,1.19
39065,3.43
39067,2.15
39069,1.37
39071,2.61
39073,3.43
39075,1.01
39077,1.82
39079,2.15
39081,1.37
39083,3.43
39085,2.15
39087,
39089,3.43
39091,1.58
39093,2.61
39095,1.58
39097,2.61
39099,1.58
39101,1.82
39103,
39105,
39107,1.82
39109,2.61
39111,1.82
39113,1.37
39115,
39117,
39119,2.15
39121,2.61
39123,3.43
39125,2.61
39127,
39129,3.43
39131,1.82
39133,2.61
39135,3.43
39137,2.15
39139,1.58
39141,1.82
39143,1.82
39145,1.37
39147,1.58
39149,1.01
39151,2.15
39153,1.82
39155,1.82
39157,1.82
39159,1.19
39161,1.58
39163,2.61
39165,3.43
39167,1.58
39169,1.82
39171,1.58
39173,1.58
39175,1.58
40001,3.43
40003,2.61
40005,1.58
40007,1.82
40009,0.78
40011,0.78
